area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,19-Dec,Khar,2 BHK,Coomee ,1056,2,1,35612.08267
Plot  Area,Ready To Move,Worli,4 Bedroom,Theanmp,2600,5,3,35934.29158
Built-up  Area,Ready To Move,Goregaon,3 BHK,,1440,2,3,32747.93388
Super built-up  Area,Ready To Move,Worli,3 BHK,Soiewre,1521,3,1,29729.72973
Super built-up  Area,Ready To Move,Dadar,2 BHK,,1200,2,1,12385.3211
Super built-up  Area,Ready To Move,Santacruz,2 BHK,DuenaTa,1170,2,1,20634.92063
Super built-up  Area,18-May,Malad,4 BHK,Jaades ,2732,4,,17424.24242
Super built-up  Area,Ready To Move,Goregaon,4 BHK,Brway G,3300,4,,23657.02479
Super built-up  Area,Ready To Move,Malad,3 BHK,,1310,3,1,20731.70732
Plot  Area,Ready To Move,Colaba,6 Bedroom,,1020,6,,24846.62577
Super built-up  Area,18-Feb,Colaba,3 BHK,,1800,2,2,18400
Plot  Area,Ready To Move,Andheri,4 Bedroom,Prrry M,2785,5,3,31336.40553
Super built-up  Area,Ready To Move,Worli,2 BHK,Shncyes,1000,2,1,43333.33333
Built-up  Area,Ready To Move,Dadar,2 BHK,,1100,2,2,22783.38945
Plot  Area,Ready To Move,Vile Parle,3 Bedroom,Skityer,2250,3,2,31250
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,PrntaEn,1175,2,2,20588.23529
Super built-up  Area,Ready To Move,Kurla,3 BHK,Prityel,1180,3,2,32075.4717
Super built-up  Area,Ready To Move,Goregaon,3 BHK,GrrvaGr,1540,3,3,22500
Super built-up  Area,Ready To Move,Santacruz,3 BHK,PeBayle,2770,4,2,17958.4121
Super built-up  Area,Ready To Move,Worli,2 BHK,,1100,2,2,17714.28571
Built-up  Area,Ready To Move,Ghatkopar,1 BHK,,600,1,1,16666.66667
Super built-up  Area,19-Dec,Goregaon,3 BHK,She 2rk,1755,3,1,14062.5
Plot  Area,Ready To Move,Chembur,4 Bedroom,Soitya ,2800,5,2,22633.74486
Super built-up  Area,Ready To Move,Khar,3 BHK,,1767,3,1,21802.32558
Super built-up  Area,18-Nov,Colaba,1 RK,Bhe 2ko,510,1,0,25157.89474
Super built-up  Area,18-May,Goregaon,3 BHK,,1250,3,2,27777.77778
Super built-up  Area,Ready To Move,Bandra,2 BHK,Itelaa ,660,1,1,32318.50117
Built-up  Area,20-Dec,Borivali,3 BHK,,1610,3,2,6905.09915
Super built-up  Area,17-Oct,Chembur,2 BHK,ViistLa,1151,2,2,17586.2069
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,KBityo ,1025,2,1,22549.57507
Super built-up  Area,19-Dec,Mulund,4 BHK,LedorSa,2100 - 2850,4,0,26127.61276
Super built-up  Area,Ready To Move,Chembur,3 BHK,Prityel,1075,2,1,25092.25092
Super built-up  Area,Ready To Move,Bandra,3 BHK,Mahosya,1760,2,2,32720.84806
Super built-up  Area,Ready To Move,Khar,3 BHK,GrrvaGr,1693,3,3,8229.665072
Built-up  Area,Ready To Move,Malad,3 BHK,Kantsce,1925,3,,20725.3886
Super built-up  Area,21-Dec,Powai,2 BHK,PrarePa,700,2,1,13085.9375
Super built-up  Area,Ready To Move,Khar,2 BHK,,1070,2,1,41666.66667
Super built-up  Area,Ready To Move,Kurla,3 BHK,Dieldli,1724,3,2,21412.30068
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,,1290,2,2,15744.68085
Built-up  Area,Ready To Move,Bandra,2 BHK,,1143,2,2,28484.23194
