area_type,availability,location,size,society,total_sqft,bath,balcony,price,adjusted_price
Super built-up  Area,19-Dec,Khar,2 BHK,Coomee ,1056,2.0,1.0,35612.08267,35612.08267
Plot  Area,Ready To Move,Worli,4 Bedroom,Theanmp,2600,5.0,3.0,35934.29158,35934.29158
Built-up  Area,Ready To Move,Goregaon,3 BHK,,1440,2.0,3.0,32747.93388,32747.93388
Super built-up  Area,Ready To Move,Worli,3 BHK,Soiewre,1521,3.0,1.0,29729.72973,29729.72973
Super built-up  Area,Ready To Move,Dadar,2 BHK,,1200,2.0,1.0,12385.3211,14862.385319999998
Super built-up  Area,Ready To Move,Santacruz,2 BHK,DuenaTa,1170,2.0,1.0,20634.92063,20634.92063
Super built-up  Area,18-May,Malad,4 BHK,Jaades ,2732,4.0,,17424.24242,17424.24242
Super built-up  Area,Ready To Move,Goregaon,4 BHK,Brway G,3300,4.0,,23657.02479,23657.02479
Super built-up  Area,Ready To Move,Malad,3 BHK,,1310,3.0,1.0,20731.70732,20731.70732
Plot  Area,Ready To Move,Colaba,6 Bedroom,,1020,6.0,,24846.62577,32300.613501
Super built-up  Area,18-Feb,Colaba,3 BHK,,1800,2.0,2.0,18400.0,23920.0
Plot  Area,Ready To Move,Andheri,4 Bedroom,Prrry M,2785,5.0,3.0,31336.40553,37603.686636
Super built-up  Area,Ready To Move,Worli,2 BHK,Shncyes,1000,2.0,1.0,43333.33333,43333.33333
Built-up  Area,Ready To Move,Dadar,2 BHK,,1100,2.0,2.0,22783.38945,27340.067339999998
Plot  Area,Ready To Move,Vile Parle,3 Bedroom,Skityer,2250,3.0,2.0,31250.0,31250.0
Super built-up  Area,Ready To Move,Vile Parle,2 BHK,PrntaEn,1175,2.0,2.0,20588.23529,20588.23529
Super built-up  Area,Ready To Move,Kurla,3 BHK,Prityel,1180,3.0,2.0,32075.4717,32075.4717
Super built-up  Area,Ready To Move,Goregaon,3 BHK,GrrvaGr,1540,3.0,3.0,22500.0,22500.0
Super built-up  Area,Ready To Move,Santacruz,3 BHK,PeBayle,2770,4.0,2.0,17958.4121,17958.4121
Super built-up  Area,Ready To Move,Worli,2 BHK,,1100,2.0,2.0,17714.28571,17714.28571
Built-up  Area,Ready To Move,Ghatkopar,1 BHK,,600,1.0,1.0,16666.66667,16666.66667
Super built-up  Area,19-Dec,Goregaon,3 BHK,She 2rk,1755,3.0,1.0,14062.5,14062.5
Plot  Area,Ready To Move,Chembur,4 Bedroom,Soitya ,2800,5.0,2.0,22633.74486,22633.74486
Super built-up  Area,Ready To Move,Khar,3 BHK,,1767,3.0,1.0,21802.32558,21802.32558
Super built-up  Area,18-Nov,Colaba,1 RK,Bhe 2ko,510,1.0,0.0,25157.89474,32705.263162
Super built-up  Area,18-May,Goregaon,3 BHK,,1250,3.0,2.0,27777.77778,27777.77778
Super built-up  Area,Ready To Move,Bandra,2 BHK,Itelaa ,660,1.0,1.0,32318.50117,32318.50117
Built-up  Area,20-Dec,Borivali,3 BHK,,1610,3.0,2.0,6905.09915,6905.09915
Super built-up  Area,17-Oct,Chembur,2 BHK,ViistLa,1151,2.0,2.0,17586.2069,17586.2069
Super built-up  Area,Ready To Move,Lower Parel,3 BHK,KBityo ,1025,2.0,1.0,22549.57507,22549.57507
Super built-up  Area,19-Dec,Mulund,4 BHK,LedorSa,2100 - 2850,4.0,0.0,26127.61276,26127.61276
Super built-up  Area,Ready To Move,Chembur,3 BHK,Prityel,1075,2.0,1.0,25092.25092,25092.25092
Super built-up  Area,Ready To Move,Bandra,3 BHK,Mahosya,1760,2.0,2.0,32720.84806,32720.84806
Super built-up  Area,Ready To Move,Khar,3 BHK,GrrvaGr,1693,3.0,3.0,8229.665072,8229.665072
Built-up  Area,Ready To Move,Malad,3 BHK,Kantsce,1925,3.0,,20725.3886,20725.3886
Super built-up  Area,21-Dec,Powai,2 BHK,PrarePa,700,2.0,1.0,13085.9375,13085.9375
Super built-up  Area,Ready To Move,Khar,2 BHK,,1070,2.0,1.0,41666.66667,41666.66667
Super built-up  Area,Ready To Move,Kurla,3 BHK,Dieldli,1724,3.0,2.0,21412.30068,21412.30068
Super built-up  Area,Ready To Move,Ghatkopar,3 BHK,,1290,2.0,2.0,15744.68085,15744.68085
Built-up  Area,Ready To Move,Bandra,2 BHK,,1143,2.0,2.0,28484.23194,28484.23194
Built-up  Area,Ready To Move,Ghatkopar,2 BHK,Gentson,1296,2.0,,12124.15131,12124.15131
Super built-up  Area,19-Dec,Chembur,3 BHK,Soini T,1254,3.0,2.0,12350.59761,12350.59761
Super built-up  Area,Ready To Move,Khar,1 BHK,Ceove G,600,1.0,0.0,22812.5,22812.5
Plot  Area,Ready To Move,Ghatkopar,1 Bedroom,,660,1.0,0.0,17800.0,17800.0
Super built-up  Area,19-Sep,Colaba,2 BHK,Soazak ,1330.74,2.0,2.0,5105.263158,6636.8421054
